SQ03,SQ04,SQ0502,SQ06,DQ02,DQ04,DQ08,DQ0801,Q010101,Q01010201,Q0119,Q01190100,Q0117,Q0120,Q012001,Q0512,Q0406,Q0503,Q0504,Q0509,Q0511,Q051102,Q051901,Q051902,Q051903,Q051904,Q051905,Q051906,Q051907
98,1,40,16,1,6,3,3,1,2024,4,1,1600,1, ,9,9,3,6,10,10,10, , , , , , , 
98,2,49,1,2,5,2,98,1,2023,1, ,2500,1,7,9,9, , , ,9,9,1,1,1,1,1,1,1
4,1,53,15,2,6,8,5,1,2023,4,1,2500,1, ,6,7,11,7,8,7,5, , , , , , , 
2,1,68,1,2,6,10,2,1,2023,1, ,1600,1, ,4,7, , , ,6,4, , , , , , , 
98,1,58,13,2,6,11,7,1,2023,4,1,1600,1, ,8,8,4,98,9,8,8, , , , , , , 
5,1,49,8,2,5,8,6,1,2023,5, , , , ,8,8,3,98,8,8,7, , , , , , , 
98,1,68,9,2,7,6,4,1,2024,4,1,1600,1,7,9,9,4,6,9,9,9, , , , , , , 
2,1,57,8,2,6,12,7,1,2024,4,1,2500,1, ,8,9,3,98,9, ,7, , , , , , , 
1,1,50,8,2,5,7,7,1,2023,3, ,2200,2, ,6,8,4,4,8,8,9, , , , , , , 
3,1,53,8,97,1,4,4,1,2023,1, ,2000, , ,10, ,10,4,10,10,10, , , , , , , 
98,1,63,14,2,7,6,5,1,2024,4,1,1600,1,5,3,8,1,7,5,5,4, , , , , , , 
98,1,43,1,2,4,11,7,1,2024,1, ,2500,3, ,5, ,1,98,9,8,8, , , , , , , 
98,1,51,8,2,2,5,3,1,2023,4,1,1600,1, ,6, ,1,6,9,8,9, , , , , , , 
98,2,42,1,1,1,6,6,1,2023,1, ,1000,1, ,7,8,8,98,9, ,9,2,2,1,1,1,1,1
3,2,49,5,2,5,10,3,1,2023,1, ,2500,3, ,6, ,9,4,5,9,5,1,1,1,1,1,1,1
2,2,41,1,2,5,8,1,1,2023,3, ,2000,3, ,8,8,8,4,9,9,9, , , , , , , 
98,2,38,1,2,4,11,6,1,2024,1, ,2500,3, ,10,9,1,6,10,10,10, , , , , , , 
2,1,46,1,2,5,8,3,1,2024,1, ,1000,1, ,3, , , , ,3,3,1,1,1,1,1,1,1
3,2,47,2,2,5,10,3,1,2023,1, ,3600,3, ,9,8,4,98,10,10,10, , , , , , , 
98,2,32,8,2,2,6,2,1,2024,1, ,1600, , ,9, ,3,98,10, ,10, , , , , , , 
98,1,57,1,2,6,8,7,1,2024,4,1,1600,1, ,10,10,2,6,10,10,10, , , , , , , 
4,1,49,8,2,5,9,6,1,2024,5, , , , ,10, ,98,98,9,10,10,1,1,1,1,1,1,1
98,1,50,8,2,6,5,3,1,2023,4,1,1600,1, ,8,8,2,4,8,8,7, , , , , , , 
98,1,43,3,2,5,4,99,1,2023,4,1,1600,1,5,6,6, , , ,7,6, , , , , , , 
98,1,61,8,2,6,13,13,1,2024,4,1,1600,1,5,9,9,4,4,10,10,9, , , , , , , 
2,2,45,8,2,5,3,2,1,2024,1, ,2000, , ,7,7,4,1,7,7,6,1,1,1,1,1,1,1
5,1,63,8,2,6,6,4,1,2023,4,1,1600,1,5,8,8,4,6,8, ,3, , , , , , , 
98,1,36,2,2,4,6,3,1,2023,5, , , , ,7, ,12,98,7,8,4,1,1,1,1,2,1,1
98,1,42,1,2,3,8,4,1,2024,1, ,2000,1, ,6,8,3,7,7,7,6, , , , , , , 
98,1,57,8, , , , ,1,2023,1, ,1300,1, ,9,9,2,2,9, ,9, , , , , , , 
1,2,44,1,2,5,8,4,1,2024,1, ,2500, , ,8,8,12,1,8,9,9, , , , , , , 
4,1,39,8,2,4,4,3,1,2023,4,1,1600,1,7,4,6,11,5,8, ,5,2,2,2,1,2,1,2
2,1,51,2,2,6,11,4,1,2024,1, ,2000,3, ,10,10,4,1,10,10,10, , , , , , , 
98,2,43,15,2,3,7,3,1,2023,6, , ,1, ,6,7,10,7,7, ,6, , , , , , , 
3,1,57,8,2,6,7,6,1,2024,3, ,2500,3, ,5,5,1,4,5,4,4, , , , , , , 
1,1,49,13,2,5,6,6,1,2024,4,1,1600,1, ,6,6,8,1,7,6,6, , , , , , , 
98,1,54,15,2,6,9,9,1,2023,1, ,3000,3, ,6, ,3,1,7,5,5, , , , , , , 
4,2,58,8,2,6,13,1,1,2023,3, ,3800,3,7,9, ,98,3,8,9,10, , , , , , , 
98,1,42,8,2,5,6,6,1,2023,1, ,2500,1,6,9, ,3,98,8,9,9, , , , , , , 
98,1,59,2,2,7,7,7,1,2024,4,1,1600,1,7,10, ,2,6,10, ,10, , , , , , , 
98,1,39,17,1,1,4,4,1,2023,5, , , , ,5,7, , , , ,7, , , , , , , 
5,1,50,1,2,5,10,8,1,2024,1, ,2500,3, ,9, ,2,98,8,10,10, , , , , , , 
5,2,37,8,1,6,99,3,1,2023,5, , , ,5,8, ,11,1,9,8,6, , , , , , , 
1,1,50,8,2,5,11,11,1,2024,1, ,2500,1,6,2, ,3,98,3,2,2, , , , , , , 
1,1,46,4,2,5,10,6,1,2023,1, ,1500,1, ,10,10, , , , ,10, , , , , , , 
98,1,66,4,97,1,4,4,1,2023,4,1,1600,1, ,3,4, , , , ,2, , , , , , , 
1,1,55,1,2,5,4,4,1,2023,1, ,3500,1, ,8, ,7,5,7,8,7, , , , , , , 
98,1,38,1,1,1,4,4,1,2023,5, , , , ,5,7,8,3,7,7,6,1,1,1,1,1,1,1
1,1,53,6,2,5,7,5,1,2024,1, ,2500,3, ,8,7,4,3,7,7,8, , , , , , , 
2,1,40,8,2,4,11,9,1,2023,5, , , , ,8,8,2, , ,9,9, , , , , , , 
98,2,42,15,2,5,7,3,1,2023,5, , , , ,7, ,4,98,8, ,7, , , , , , , 
1,1,51,1,2,5,7,6,1,2023,4,1,2000, , ,9,9,9,98,10,10,9, , , , , , , 
98,2,47,2,2,5,4,98,1,2023,1, ,1600,1, ,7,8,4,98,9,8,6, , , , , , , 
2,2,39,3,2,5,11,7,1,2023,5, , , , ,8,8,3,1,9,9,7, , , , , , , 
3,2,52,12,2,4,5,2,1,2023,1, ,1600,1, ,8,9,7, , ,8,7, , , , , , , 
1,2,53,1,2,6,5,5,1,2024,1, ,2000,1, ,7,7,12,5,8,7,7, , , , , , , 
4,1,42,7,2,4,6,6,1,2024,5, , , ,5,8,7,3,98,10,10,10, , , , , , , 
98,2,29,4,1,6,3,98,1,2023,4,1,1600, , ,7, ,2,98,9,9,8, , , , , , , 
98,1,51,8,1,7,5,5,1,2024,4,1,1600,1, ,7, ,3,5,7,7,6, , , , , , , 
3,1,63,8,2,6,3,2,1,2023,1, ,2500,1, ,9,8,2,6,9,9,9, , , , , , , 
98,2,34,6,1,1,3,3,1,2023,4,1,1600,1, ,8, ,3,6,8, ,5, , , , , , , 
98,1,48,8,2,5,2,2,1,2023,3, ,2000,1, ,6,7,2,98,8,8,6, , , , , , , 
98,1,42,3,2,5,6,6,1,2023,4,1,1600,1, ,8,8,4,98,7,8,7, , , , , , , 
98,2,45,3,2,3,6,3,1,2024,1, ,2000,1, ,10, ,10,1,10,10,10, , , , , , , 
4,2,36,8,1,1,2,2,1,2024,1, ,1600, , ,9, ,10,98,10,8,9, , , , , , , 
5,1,46,4,2,5,10,8,1,2023,1, ,3000,3, ,9,9,10,6,9,9,7, , , , , , , 
98,1,53,4,2,5,11,6,1,2023,3, ,2200,1,7,4,4,4,98,4,4,4, , , , , , , 
98,1,41,1,2,4,7,7,1,2024,1, ,3000,3, ,1,7,10,2,8, ,2, , , , , , , 
98,1,49,8,97,1,3,3,1,2024,1, ,1600,1, ,6, ,12,4,7,6,6, , , , , , , 
5,1,52,14,97,6,4,2,1,2023,4,1,1600,1, ,8,6,4,6,8,8,8, , , , , , , 
2,1,26,1,1,1,7,7,1,2023,5, , , , ,9,9,4,4,10,8,10,1,1,1,2,1,1,1
1,1,44,1,2,4,4,3,1,2024,1, ,1000, ,5,6,5,1,7,5, ,7, , , , , , , 
4,2,28,4,1,6,6,3,1,2023,1, ,1000,1, ,10, , , , ,10,10,2,1,1,1,2,2,2
98,2,45,5,97,6,5,3,1,2023,4,1,1600,1,5,8, , , , , ,9, , , , , , , 
3,1,34,4,2,2,7,5,1,2024,4,1,1600,1,6,8, ,3,6,10, ,5, , , , , , , 
3,2,66,1,2,6,12,10,1,2023,5, , , , ,9,8,4,4,8,8,8, , , , , , , 
1,2,49,8,2,5,12,11,1,2023,1, ,2500,1, ,9,8, , , ,9,9, , , , , , , 
98,1,58,8,2,6,8,4,1,2024,5, , , , ,10,10,4,7,10,10,9, , , , , , , 
4,1,47,2,2,5,10,6,1,2023,4,1,1600,1, ,8,8,4,98,8, ,8, , , , , , , 
98,1,60,1,2,6,10,3,1,2023,1, ,2200,1, ,7,9,2,7,9,8,9, , , , , , , 
98,1,48,8,2,5,6,6,1,2023,3, ,2200,1,9,9, ,2,98,8,9,6, , , , , , , 
98,1,54,15,2,6,4,4,1,2024,4,1,1600,3, ,7,8,4,4,8,8,7, , , , , , , 
98,1,60,8,2,7,5,5,1,2023,1, ,2500,1, ,10, ,1,3,10,10,10, , , , , , , 
98,1,53,15,2,5,7,5,1,2024,1, ,2500,1, ,10,10,4,98,10,10,10, , , , , , , 
98,1,57,11,2,6,8,5,1,2023,1, ,1600, , ,9,8,3,6,9,9,9,1,1,1,1,1,1,1
98,2,34,8,2,3,7,3,1,2024,4,1,1600,1,5,9,8,10,1,10,9,6, , , , , , , 
5,1,62,4,2,7,9,7,1,2023,3, ,2200,1,7,1, ,98, , ,7,1, , , , , , , 
98,1,47,6,2,5,3,4,1,2024,4,1,1600,1,9,10,10,3,98,10, ,10, , , , , , , 
5,1,53,1,97,5,6,6,1,2024,4,1,1600,1,7,7, , , , , ,7, , , , , , , 
1,2,47,14,2,5,11,5,1,2023,5, , , ,7,8,8,4,7,8,8,8, , , , , , , 
2,1,37,1,1,1,11,11,1,2024,1, ,5000,1, ,8,6,9,5,7,7,6, , , , , , , 
98,2,51,1,2,5,5,5,1,2024,5, , , , ,9, ,2,1,9,9,9, , , , , , , 
5,1,65,1,2,6,6,6,1,2023,1, ,3500,1, ,9,8,2,6,9,9,9, , , , , , , 
2,1,40,1,2,5,5,3,1,2023,1, ,1200,1, ,7,7,10,6,7,7,8,1,1,2,2,1,2,2
98,1,51,8,2,5,5,5,1,2024,4,1,1600,1,5,9,9,3,6,9,9,9, , , , , , , 
98,2,38,5,2,4,5,2,1,2023,5, , , ,6,8,8,3,98,8, ,8, , , , , , , 
2,1,60,12,2,6,10,3,1,2023,4,1,1600,1, ,8,8,3,7,8,8,9, , , , , , , 
98,1,64,8,2,7,5,5,1,2023,1, ,2500,3, ,9,9,98,7,9,9,9, , , , , , , 
3,1,45,8,1,1,5,5,1,2023,1, ,1500,3, ,10,7, , , ,10,8, , , , , , , 
3,1,54,4,2,6,11,7,1,2023,1, ,1300,1, ,9,9,4,4,9,9,9, , , , , , , 
98,1,60,1,2,6,11,4,1,2023,4,1,1600,1, ,4,6,4,97,5,5,4, , , , , , , 
1,1,66,2,2,7,10,10,1,2024,1, ,2500,1, ,8,8,2,6,9, ,9, , , , , , , 
98,2,49,1,2,5,8,4,1,2023,4,1,1600,1, ,6,6,4,6,6,6,6, , , , , , , 
98,1,52,10, , , , ,1,2023,4,1,1600,1,6,7,9, , , ,8,8, , , , , , , 
98,1,46,8,2,5,5,5,1,2024,4,1,1600,1,7,9, ,3,98,10,10,10, , , , , , , 
1,1,43,14,2,5,5,3,1,2024,2, ,3500,1, ,6,6,2,98,6,6,6, , , , , , , 
3,1,46,6,2,4,10,7,1,2023,1, ,3600,3, ,6,6,9,98,6,7,5, , , , , , , 
98,1,52,8, , , , ,1,2024,1, ,2500,1, ,10,10,12,7,10,10,10, , , , , , , 
98,2,25,8,1,1,2,2,1,2024,1, ,1500,1, ,7,8,10,98,5,9,6, , , , , , , 
4,2,54,8,2,6,8,4,1,2023,5, , , , ,6,7,2,4,6,7,7, , , , , , , 
98,1,41,17,1,1,3,3,1,2023,1, ,2000,3, ,5,5,6,1,5,5,6, , , , , , , 
1,1,38,5,2,6,10,10,1,2024,1, ,3500,3, ,6,8,10,5,6,6,7, , , , , , , 
98,2,43,2,1,7,4,2,1,2023,1, ,1300,1, ,9, ,3,1,9,9,10, , , , , , , 
98,2,42,2,2,4,7,3,1,2024,4,1,1600,1, ,9,9,3,6,9, ,8, , , , , , , 
98,1,50,4,2,6,7,5,1,2023,4,1,1600,3,6,9,8,4,3,10,9,9, , , , , , , 
1,1,42,6,2,5,3,2,1,2024,4,1,1600,1, ,7,8,8,2,8,7,7, , , , , , , 
2,1,40,8,1,6,9,8,1,2023,1, ,2000, , ,6,5,9,4,5,6,6, , , , , , , 
4,1,49,1,2,5,10,10,1,2023,3, ,3000,3, ,2,8,10,1,7,7,2, , , , , , , 
98,1,55,9,2,5,8,6,1,2024,1, ,2500,3,5,8, ,1,6,8,8,8, , , , , , , 
98,1,44,1,2,3,11,6,1,2024,1, ,3000,3, ,8,9,10,6,9, ,9, , , , , , , 
3,1,37,8,2,4,99,99,1,2024,5, , , , ,6,5,98,98,7,4,5,1,1,2,2,2,2,1
4,2,31,8,2,4,5,98,1,2023,1, ,3000,1,5,7,7,3,98,8,8,6, , , , , , , 
1,1,59,13,2,6,7,7,1,2023,1, ,1500,1, ,8,9,1,1,9,9,9, , , , , , , 
1,1,39,1,2,4,12,11,1,2023,1, ,3500,3,7,3,2,10,6,3,6,9, , , , , , , 
98,2,45,8,97,5,5,2,1,2024,1, ,2000,3, ,10,9,9,6,10,10,10, , , , , , , 
98,1,55,8,2,5,8,8,1,2024,3, ,2000,1, ,8, ,2,6,10,10,10, , , , , , , 
1,1,36,10,1,1,1,1,1,2024,3, ,2000,1, ,10,10,11,3,10,10,10,1,1,1,1,1,1,1
2,1,40,1,2,5,4,3,1,2023,4,1,1600,1, ,9,8,2,6,8,9,8, , , , , , , 
98,1,62,3,2,7,5,4,1,2024,2, ,3500,1,5,5, ,3,97,6, ,5, , , , , , , 
98,1,45,1,2,5,12,10,1,2023,5, , , , ,5,6,3,4,8,9,3, , , , , , , 
3,2,49,1,2,5,7,3,1,2023,1, ,2000,1, ,6,8,98,98,8,6,6, , , , , , , 
98,1,45,8,2,3,9,6,1,2023,1, ,1300,1, ,6,6,8,1,7,7,5, , , , , , , 
4,1,58,8,2,5,10,7,1,2024,1, ,2200,3,6,8, ,2,98,10,10,8, , , , , , , 
4,1,47,6,2,5,10,7,1,2023,1, ,2500,1, ,9,9,4,6,10,10,9, , , , , , , 
1,1,58,16,2,5,7,6,1,2024,1, ,2500,3, ,8,8,3,3,7,7,7, , , , , , , 
1,2,57,8,2,7,13,10,1,2024,5, , , ,7,7,7,10,98,7,8,6, , , , , , , 
5,1,45,1,2,5,6,4,1,2023,4,1,1600,1, ,6,7,10,6,7, ,7,1,1,1,1,1,1,1
98,2,46,1,2,5,10,5,1,2023,1, ,2500,1,6,9,8,4,6,9,9,9, , , , , , , 
98,2,58,1,2,6,11,6,1,2023,1, ,3500,3, ,7,8, , , ,6,7, , , , , , , 
4,1,54,12,2,6,7,6,1,2024,4,1,1600,1,5,8,9,3,6,10,9,8, , , , , , , 
3,1,47,6,2,5,10,10,1,2024,1, ,1600,1, ,10, ,1,97,10,10,10, , , , , , , 
98,1,55,1,2,6,11,4,1,2023,4,1,1600,1, ,5, ,2,98,7, ,6, , , , , , , 
98,1,55,5,2,5,5,5,1,2023,4,1,1600,1,5,7,8,2,6,9,9,9, , , , , , , 
4,1,33,8,2,2,9,4,1,2024,1, ,2500,1,5,8, ,3,98,9, ,9, , , , , , , 
98,1,36,15,2,4,8,6,1,2024,1, ,3000,3, ,9,10,4,6,10,10,10, , , , , , , 
98,2,54,8,1,1,4,4,1,2024,1, ,2200,1, ,10,10, , , ,10,10, , , , , , , 
4,2,53,12,2,5,9,4,1,2024,1, ,2000,1, ,9,9,4,1,10, ,8, , , , , , , 
4,1,55,10,1,6,3,3,1,2024,4,1,2000, , ,7,7,4,98,7,8,5, , , , , , , 
98,1,44,8,2,4,10,8,1,2023,4,1,2500,1, ,6,3,10,7,3,7,8,1,2,1,1,1,1,1
98,1,50,1,1,1,3,3,1,2023,1, ,1600, , ,6,7, , , ,8,8, , , , , , , 
98,1,36,8,97,5,3,3,1,2023,1, ,1600,1, ,8,10,4,98,9,8,10, , , , , , , 
5,1,62,1,2,6,4,3,1,2023,1, ,1600,1, ,7, ,8,6,8,8,7, , , , , , , 
1,1,55,1,2,6,13,13,1,2023,1, ,3000,3, ,8,8,3,6,9,9,9, , , , , , , 
98,1,47,6,2,3,5,98,1,2024,5, , , , ,6, ,98,98,6, ,5,2,1,2,2,1,2,2
98,2,45,14,2,5,3,4,1,2023,1, ,1600,1, ,1,5,3,98,1, ,6, , , , , , , 
4,1,66,10,2,6,9,7,1,2023,4,1,1600,1, ,6,8,9, , ,6,6, , , , , , , 
98,1,45,4,2,5,9,6,1,2023,5, , , , ,1,6,3,98,8,8,6, , , , , , , 
5,1,57,12,2,6,11,10,1,2023,1, ,2500,3,5,9,9,2,2,10,10,10, , , , , , , 
4,2,54,2,2,5,4,4,1,2023,1, ,1000, ,5,9,8,4,6,7,8,8, , , , , , , 
2,2,39,8,2,4,8,4,1,2024,1, ,1000, ,5,7,8,1,5,7,8,10,1,2,2,2,2,2,2
1,1,34,1,2,4,13,7,1,2023,1, ,2000,1, ,8,6,4,2,5,6,6,1,1,2,1,1,2,1
5,2,69,8,1,1,4,4,1,2024,2, ,2000, , ,6, ,3,5,6,6,6, , , , , , , 
2,2,46,7,2,5,4,4,1,2024,1, ,3500,3, ,5,3,4,4,2,3,2, , , , , , , 
1,2,54,1,2,5,5,5,1,2024,3, ,2000,1, ,8,9,1,98,6, ,7, , , , , , , 
98,1,31,14,1,1,2,2,1,2023,1, ,2000, , ,6,6,8,4,6,6,6, , , , , , , 
98,1,48,4,2,5,4,4,1,2024,6, , ,1, ,9,9,4,98,10,9,9, , , , , , , 
98,1,69,10, , , , ,1,2023,3, ,2200,1,9,8,8, , , ,10,8, , , , , , , 
5,1,48,4,2,5,8,5,1,2024,1, ,3500,1, ,10, ,12, , ,10,10, , , , , , , 
98,2,44,8,1,1,3,3,1,2024,4,1,2000, , ,8,7,4,6,8,8,8, , , , , , , 
98,1,49,12,2,5,5,5,1,2023,1, ,2500,1,5,5, , , , , ,6, , , , , , , 
1,1,40,1,1,1,7,7,1,2023,4,1,1600,3,7,10,10,10,3,10,10,10, , , , , , , 
2,2,58,13,2,6,7,4,1,2023,1, ,1600,1, ,10, ,1,98,10,10,10, , , , , , , 
4,1,67,8,2,6,10,3,1,2024,1, ,2500,3, ,9,9,2,7,9,9,8,1,1,1,1,1,1,1
5,1,56,1,2,6,8,6,1,2024,1, ,2500,1, ,9,9,3,4,9,9,9, , , , , , , 
3,1,35,12,1,1,7,7,1,2023,1, ,2500,3,5,5,7, , , ,6,6, , , , , , , 
98,1,50,8,2,6,6,4,1,2024,4,1,1600,1, ,10,10,4,1,10,10,9, , , , , , , 
98,2,37,4,1,7,3,3,1,2024,4,1,1600,1,5,8,8, , , , ,3, , , , , , , 
98,1,42,8,2,5,4,4,1,2023,1, ,3800,1,7,7,5,98,98,8,6,6, , , , , , , 
98,1,54,3,97,6,4,4,1,2024,1, ,2500,1, ,8, ,4,98,8, ,8, , , , , , , 
5,1,43,15,2,5,6,5,1,2023,5, , , ,6,10, , , , ,10,10, , , , , , , 
5,2,35,8,97,4,3,3,1,2023,4,1,1600,1, ,10, ,3,6,10,9,10, , , , , , , 
5,1,62,6,2,6,5,2,1,2023,1, ,1500,1, ,8,8,4,3,9, ,9, , , , , , , 
98,1,46,8,1,1,7,7,1,2023,1, ,1600,1, ,8,8,11,4,7,8,7, , , , , , , 
98,1,53,16,1,1,2,2,1,2023,5, , , , ,8, ,3,98,9,6,7, , , , , , , 
4,1,64,4,2,6,2,2,1,2024,4,1,1600,1,6,6,8,4,4,8,6,4, , , , , , , 
3,2,46,15,2,5,4,1,1,2023,4,1,1600,1, ,5, ,3,98,4,4,3, , , , , , , 
98,1,54,8,2,6,11,5,1,2024,4,1,1600,1, ,8,9,3,6,9,9,6, , , , , , , 
98,1,63,8,2,7,7,4,1,2023,4,1,1600,1, ,7,7,2,4,7, ,7, , , , , , , 
98,2,33,2,1,6,2,2,1,2024,1, ,1600, , ,8,8,4,98,8, ,7, , , , , , , 
98,1,31,12,2,4,6,4,1,2023,5, , , , ,9, ,3,98,10,10,10,1,1,1,1,1,1,1
4,1,40,1,1,1,13,13,1,2023,1, ,2000,1, ,9,9,11,3,9,9,9, , , , , , , 
4,1,54,1,2,5,10,10,1,2024,4,1,1600,1, ,7,7,4,7,7,7,6, , , , , , , 
2,1,61,1,2,6,12,8,1,2024,3, ,2200,3, ,8,9,10,4,9,9,8, , , , , , , 
98,1,47,8,2,3,3,3,1,2023,1, ,1600,1, ,7,9,3,1,9,9,9, , , , , , , 
4,1,66,1,2,6,9,3,1,2023,1, ,2500,1,7,8, ,2,6,8,9,9, , , , , , , 
98,2,64,8,97,7,11,9,1,2023,4,1,1600,1, ,3, ,4,5,6,8,3, , , , , , , 
98,2,42,1,97,1,5,5,1,2024,1, ,1600,1, ,7,10, , , , ,7, , , , , , , 
3,1,44,13,2,3,6,3,1,2023,4,1,1600,1, ,7, ,1,2,8, ,7, , , , , , , 
98,1,61,14,2,6,5,3,1,2023,1, ,2500,1,5,9,10,2,6,10,9,10, , , , , , , 
98,1,68,1,2,7,7,5,1,2024,1, ,2500,1, ,8, ,98,1,8,8,8, , , , , , , 
98,1,69,15,2,7,6,5,1,2024,3, ,2200,1,7,8,9,4,6,9,9,8, , , , , , , 
3,2,46,15,2,5,4,98,1,2023,5, , , ,6,8,8,9,98,6,10,7, , , , , , , 
98,1,56,2,2,6,7,7,1,2024,4,1,2500,1, ,6,7,4,4,7, ,7, , , , , , , 
98,2,45,8,2,3,7,3,1,2023,1, ,1200,1, ,4,5,4,98,6,7,2, , , , , , , 
2,1,62,3,2,6,10,4,1,2023,1, ,2000,1, ,10,9,4,3,10,10,10, , , , , , , 
98,1,46,1,1,1,4,4,1,2024,5, , , , ,2, ,3,98,3,2,4, , , , , , , 
98,1,59,8,2,6,6,3,1,2024,1, ,1600,3, ,9,9,4,6,10,10,10, , , , , , , 
3,2,40,15,2,4,11,2,1,2024,1, ,2000,3, ,9,9,4,6,9, ,9, , , , , , , 
5,1,48,1, , , , ,1,2024,1, ,2500,1, ,6, ,3,98,5,6,5, , , , , , , 
1,1,38,6,2,5,5,5,1,2024,1, ,2000,1, ,7,7,4,2,7,7,7, , , , , , , 
98,1,40,8,2,4,9,7,1,2024,5, , , ,7,7, ,11,98,6,7,5, , , , , , , 
98,1,55,8,2,6,11,4,1,2023,4,1,1600,1,5,6, ,8,1,8,8,8, , , , , , , 
98,1,43,8,2,5,5,5,1,2024,5, , , , ,8,8,98,98,8,8,8,1,1,1,1,1,1,1
98,2,43,8,2,5,6,3,1,2024,5, , , , ,9,9,6,1,9,9,9, , , , , , , 
98,2,45,7,2,5,8,4,1,2024,1, ,1600,1, ,10,10,4,2,10, ,10, , , , , , , 
4,2,36,8,2,4,7,3,1,2024,5, , , ,5,8,9, , , , ,7, , , , , , , 
98,1,51,8,1,1,10,10,1,2023,1, ,1300,1, ,1,1,4,98,1,1,1, , , , , , , 
98,2,35,8,1,1,4,4,1,2023,1, ,1600,1, ,5, ,3,98,5, ,5, , , , , , , 
98,1,54,8,2,5,8,4,1,2024,3, ,2000,1, ,8, ,3,1,9,9,6, , , , , , , 
98,1,53,3,2,6,8,3,1,2023,1, ,1300,1, ,9,9,4,4,10,9,9, , , , , , , 
2,1,49,4,2,5,9,5,1,2023,5, , , , ,7,10,2,1,10,10,10, , , , , , , 
98,2,29,8,1,1,12,12,1,2024,5, , , , ,8,9,8,3,8,9,9, , , , , , , 
98,1,65,10, , , , ,1,2023,4,1,1600,3,5,9,9,2,6,10,10,10, , , , , , , 
4,1,50,11,2,6,10,6,1,2023,5, , , , ,9, , , , ,9,9,1,1,1,1,2,1,1
98,2,46,7,2,5,6,2,1,2024,1, ,2000,1, ,8,7,4,4,8,7,6, , , , , , , 
1,1,66,4,2,6,2,2,1,2024,5, , , , ,8,8,2,6,9,8,8, , , , , , , 
1,1,52,2,2,3,11,7,1,2024,4,1,2500,3, ,10,10,4,4,10,10,10, , , , , , , 
98,1,65,8,2,7,7,4,1,2023,1, ,2500,1, ,7,8,4,6,9,9,8, , , , , , , 
98,1,69,2,2,7,6,4,1,2024,1, ,2200,1, ,7,7,4,1,8,8,7,1,1,1,1,1,1,1
98,1,58,16,97,5,3,3,1,2023,4,1,2000, , ,1,8,3,98,7, ,1, , , , , , , 
4,1,40,8,2,3,6,3,1,2023,1, ,2500,1, ,8, ,11,2,8, ,7, , , , , , , 
98,1,55,4,2,5,99,99,1,2024,5, , , , ,9, ,2,4,9,9,9, , , , , , , 
5,2,54,6, , , , ,1,2024,1, ,2000,1, ,6,5,8,2,8,9,2, , , , , , , 
2,1,37,8,1,6,7,3,1,2023,1, ,1000,1, ,6, ,12,98,7,5,5,1,1,1,1,1,1,1
98,1,48,4,2,4,8,6,1,2023,3, ,2200,2, ,8,6,8,3,7,8,7, , , , , , , 
5,1,52,1,2,6,11,7,1,2024,4,1,2500,3, ,9,10,2, , ,10,8, , , , , , , 
98,1,41,8,2,4,3,3,1,2024,3, ,2200,3,7,9,9,1,6,10,9,9, , , , , , , 
98,1,56,12,2,6,11,8,1,2024,1, ,2500,3,5,3, ,2,6,7,3,3, , , , , , , 
98,1,59,5,2,3,5,2,1,2024,4,1,1600,1,5,8,7,3,6,9,9,8, , , , , , , 
98,1,56,1,2,3,4,4,1,2024,1, ,2500,1, ,10, ,3,3,10,10,10, , , , , , , 
2,1,42,1,1,6,11,4,1,2024,4,1,2400,1, ,8,8,98,98,8,8,9, , , , , , , 
98,1,42,1,1,1,6,6,1,2024,1, ,2500,3,5,9,9, , , ,9,9, , , , , , , 
98,2,65,6,2,7,8,5,1,2024,4,1,2000, , ,8,9,2,3,9,8,8, , , , , , , 
3,1,37,3,2,5,2,2,1,2023,5, , , , ,6, ,3,3,6,6,6, , , , , , , 
3,1,54,8,2,6,6,6,1,2023,3, ,3000,1,5,8, ,2,6,9,9,8, , , , , , , 
5,1,63,4,2,6,5,5,1,2023,1, ,1500,1, ,6,8,4,98,8,8,8,1,2,1,1,2,1,2
98,1,50,8,2,5,8,6,1,2024,1, ,2500,3, ,5,5,4,6,7, ,7, , , , , , , 
98,1,55,1,2,5,12,12,1,2023,4,2,2000,3, ,10,10,4,1,10,10,10, , , , , , , 
2,1,61,5,2,6,10,3,1,2023,4,1,1600,1,5,10,9,2,3,9,9,10, , , , , , , 
98,1,51,1,2,5,10,9,1,2024,4,1,1600,3,7,5,6,4,98,7,6,6, , , , , , , 
4,2,42,12,2,5,5,1,1,2023,4,1,1600,1, ,5,6,6,4,6,6,7, , , , , , , 
5,1,61,8,2,6,8,3,1,2024,4,1,1600,1, ,10, , , , ,10,9, , , , , , , 
98,2,33,8,97,1,99,99,1,2023,5, , , ,7,1,2,4,98,1, ,1, , , , , , , 
98,2,48,12,2,5,99,2,1,2024,1, ,1600,1, ,7,9,4,6,10,9,7, , , , , , , 
98,1,65,8,2,7,8,5,1,2024,1, ,2500,1, ,7,7,4,6,8,8,8, , , , , , , 
98,1,54,9,2,5,7,6,1,2023,4,1,1600,1,5,7,6,4,6,6,7,6, , , , , , , 
4,1,50,8,2,5,8,8,1,2023,1, ,3000,3, ,7,8,4,6,9,9,9, , , , , , , 
4,1,44,8,2,4,6,5,1,2023,5, , , , ,8,7, , , ,8,8, , , , , , , 
