SQ03,SQ04,SQ0502,SQ06,DQ02,DQ04,DQ08,DQ0801,Q010101,Q01010201,Q0119,Q01190100,Q0117,Q0120,Q012001,Q480101,Q480102,Q480103,Q480104,Q480105,Q480106,Q480107,Q480108,Q490101,Q490102,Q490103,Q490104,Q490105,Q490106,Q490107,Q490108
5,2,39,3,2,4,6,99,1,2023,3, ,2000,3, ,3, , , , , , , ,1,2,1,1,2,1,2,1
5,2,31,8,1,6,5,4,1,2016,1, ,2000, , ,2,7,6,5, , , , ,2,1,2,2,2,2,2,1
5,1,65,1,2,7,3,2,2,2017,3, ,2200,1,9,5, , , , , , , ,1,2,2,2,2,2,2,1
5,1,57,6,97,1,5,5,1,2020,1, ,1300, , ,5,2, , , , , , ,1,2,1,2,2,2,2,1
1,1,53,1,2,6,10,10,1,2018,1, ,2400,1, ,2, , , , , , , ,1,2,2,2,1,2,2,1
2,1,65,11,2,7,13,5,2,2021,1, ,2200,1, ,5,7,4,6, , , , ,2,1,1,1,1,1,2,1
98,1,42,8,1,1,7,7,1,2023,1, ,1600,1, ,3,4,5,7, , , , ,1,1,1,2,2,2,2,1
98,1,39,17,1,1,4,4,1,2023,5, , , , ,4,3, , , , , , ,1,2,1,1,2,2,2,2
1,1,52,8,2,5,11,10,1,2015,1, ,2000, , ,6,8,4,3,1,5,7,2,1,2,1,2,1,1,2,1
98,2,38,7,2,5,4,98,1,2020,3, ,2200,1,5,3, , , , , , , ,1,1,1,2,2,2,2,1
98,2,45,2,1,1,3,3,2,2022,3, ,2000,3, ,3,5, , , , , , ,1,2,2,2,2,1,2,1
5,1,43,2,2,4,6,4,1,2023,1, ,1600, , ,2,3,6, , , , , ,1,2,1,2,2,1,2,1
5,1,52,15,2,5,11,6,1,2023,4,1,1600,1, ,2,7,3,5, , , , ,1,2,1,1,2,1,2,1
4,1,50,1,2,5,6,6,1,2013,1, ,2000, , ,6,5,4,3,7, , , ,1,2,1,2,1,1,2,1
5,1,58,3,2,6,5,3,1,2013,1, ,1600, , ,3,5, , , , , , ,1,1,1,2,2,2,2,1
5,1,49,8,2,5,11,7,2,2023,1, ,2000,1,5,5,7,3,2, , , , ,1,1,1,1,1,2,2,2
98,1,59,1,2,6,7,5,2,2018,1, ,1600, , ,3,2, , , , , , ,2,2,2,2,2,2,2,1
4,2,51,2,97,5,5,5,1,2016,1, ,1000, , ,2,7, , , , , , ,1,2,2,2,2,2,2,1
1,1,62,5,2,7,7,7,1,2014,4,1,2400,1, ,5, , , , , , , ,2,2,2,2,2,1,2,1
2,1,40,14,1,1,4,4,2,2013,3, ,2000,1, ,2, , , , , , , ,1,2,2,2,2,2,2,1
98,2,58,8,2,6,10,5,1,2023,4,1,1600,1, ,4,5, , , , , , ,1,2,1,1,2,1,2,1
3,1,56,8,1,1,2,2,1,2020,1, ,1600, , ,3,5,2,1, , , , ,1,2,2,2,2,2,2,1
5,1,50,1,2,5,10,8,1,2024,1, ,2500,3, ,7,3, , , , , , ,1,2,1,2,1,2,2,2
4,1,64,6,2,6,4,2,1,2022,3, ,3500,1,7,3,5, , , , , , ,2,2,1,1,1,1,2,1
98,1,55,2,2,5,5,4,1,2019,1, ,2000, , ,2, , , , , , , ,1,2,1,1,2,2,2,2
1,1,46,1,2,5,6,6,1,2015,2, ,3000,1, ,3, , , , , , , ,1,2,1,2,2,2,2,1
5,1,52,1,2,5,4,4,2,2020,1, ,2400,1, ,2, , , , , , , ,1,2,2,2,2,2,2,1
5,2,37,8,1,6,99,3,1,2023,5, , , ,5,2, , , , , , , ,1,2,2,2,2,2,2,1
1,1,55,16,2,3,3,3,1,2013,1, ,1600, , ,2,5, , , , , , ,1,2,1,1,2,2,2,1
4,1,46,8,2,4,6,4,1,2018,3, ,2200,1,9,2, , , , , , , ,2,2,1,1,1,2,2,1
4,1,34,8,2,4,5,3,1,2017,5, , , , ,3,2,5, , , , , ,1,2,1,2,2,2,2,2
3,1,57,8,2,5,8,6,1,2018,3, ,3000,3, ,1,7,3,5, , , , ,1,2,1,1,2,1,2,1
5,1,43,2,1,6,6,6,1,2014,2, ,2400, , ,7,6,5,8, , , , ,1,2,1,2,2,1,2,1
1,1,50,8,2,5,11,11,1,2024,1, ,2500,1,6,3,6,4,5,2, , , ,2,2,1,2,2,1,2,1
98,2,64,1,97,6,5,5,2,2016,1, ,1600,1, ,2,7, , , , , , ,2,1,1,2,2,2,2,1
5,1,55,5,2,6,4,4,1,2022,4,1,1600,3,5,3, , , , , , , ,2,2,1,1,2,1,2,1
98,2,55,4,2,6,11,2,1,2022,1, ,1600,1, ,2,5,6,3,7, , , ,1,2,2,1,2,2,2,1
4,2,54,13,97,6,3,3,2,2015,2, ,2000, , ,5,3, , , , , , ,1,2,2,2,2,2,2,2
4,1,50,6,2,5,6,4,1,2013,3, ,2000,1,7,2,5, , , , , , ,1,2,1,2,2,2,2,1
5,1,53,8,2,5,8,7,1,2020,1, ,2500,1, ,3,2,6,7,5, , , ,1,2,1,1,2,1,2,1
1,2,53,8,1,1,11,11,1,2013,1, ,1800,1, ,3,2,7, , , , , ,2,2,1,1,1,1,1,2
98,2,47,15,2,5,4,1,1,2018,1, ,1000, ,5,2, , , , , , , ,1,2,2,2,2,2,2,1
5,1,35,13,2,3,4,4,1,2014,3, ,1500,1, ,2,5,3,4, , , , ,1,2,2,1,2,2,1,2
2,1,47,1,2,2,7,4,1,2013,1, ,1600,1, ,7,4,3, , , , , ,1,2,1,2,2,1,1,2
5,1,44,2,2,5,6,6,1,2020,1, ,2500,1, ,2, , , , , , , ,2,2,1,1,2,1,1,1
2,1,43,2,2,4,6,4,2,2016,1, ,2000,1, ,3, , , , , , , ,1,2,2,2,2,2,2,1
1,1,49,8,2,5,11,7,1,2020,1, ,3600,2, ,5,8,3,4,7,1,6, ,1,2,1,1,2,1,1,1
2,1,39,1,2,4,11,7,1,2013,4,1,2000, , ,7,4,3,2,5, , , ,1,2,1,2,2,1,2,1
1,1,53,1,2,5,5,3, , , , , , , ,98, , , , , , , ,1,1,1,1,2,2,2,1
3,1,67,2,2,7,7,4,1,2022,1, ,1500,1, ,5, , , , , , , ,1,2,1,2,2,2,2,1
1,1,46,4,2,5,10,6,1,2023,1, ,1500,1, ,98, , , , , , , ,1,2,1,2,2,1,1,1
98,1,66,4,97,1,4,4,1,2023,4,1,1600,1, ,2,3,6, , , , , ,1,1,1,2,2,2,2,2
4,1,57,2,1,1,6,6, , , , , , , ,2,3,1,5, , , , ,1,2,1,1,2,2,2,1
1,1,48,8,1,6,6,3,1,2013,1, ,2400,1, ,98, , , , , , , ,1,2,1,2,1,2,2,2
2,1,48,5,2,5,11,10,1,2013,3, ,2000,1, ,5,2,7,6,3, , , ,2,1,1,2,1,2,2,1
4,1,51,8,2,5,7,7,1,2014,1, ,3000,1, ,8,5, , , , , , ,1,2,1,2,2,2,2,1
5,1,58,1,2,6,5,5,1,2019,3, ,2000,1, ,2, , , , , , , ,2,2,2,2,2,2,2,1
5,1,63,1,2,6,8,6,2,2019,3, ,1600, , ,3,5, , , , , , ,1,2,2,2,2,2,2,1
98,2,52,1,2,6,10,98,2,2023,3, ,2000,3, ,3,7, , , , , , ,1,2,2,2,2,1,2,1
1,1,60,1,2,6,11,11, , , , , , , ,2,5,3, , , , , ,1,2,1,2,2,1,2,1
5,1,62,8,2,7,5,5,1,2018,3, ,2200,1,5,3,5,6,2,7, , , ,2,2,1,2,2,2,2,1
5,1,68,1,2,7,5,5,1,2013,3, ,2000,1, ,3,2,5, , , , , ,1,2,2,2,2,2,2,1
5,1,50,8,2,4,11,5,1,2016,3, ,2000,1, ,4,3,2,5, , , , ,1,2,1,2,2,2,2,1
5,1,48,12,2,6,3,3,1,2013,4,1,1600, , ,4, , , , , , , ,2,1,1,1,2,2,2,1
2,1,53,4,1,1,4,4,1,2021,3, ,2200,1,9,4,7,3,5,2, , , ,1,2,1,1,2,2,2,2
98,2,67,6,1,1,6,6,1,2018,1, ,3000,1, ,5,2, , , , , , ,2,2,2,1,2,1,2,1
1,1,55,1,2,5,4,4,1,2023,1, ,3500,1, ,3, , , , , , , ,1,1,2,1,1,2,2,2
5,2,32,6,1,6,8,3,1,2023,4,1,2000, , ,4,3, , , , , , ,1,1,1,2,2,2,2,1
1,2,54,8,1,7,10,3,1,2018,1, ,1000, ,5,2,7,3,5, , , , ,1,2,1,2,2,2,2,1
3,1,47,8,2,2,8,4,1,2022,3, ,2000,1, ,3, , , , , , , ,1,2,1,2,2,2,2,1
2,1,48,8,2,5,10,6,1,2022,1, ,1500,1, ,1,6,7,8,2,3,4,5,1,2,1,2,2,1,2,1
98,1,49,3,1,1,2,2,2,2017,2, ,2000,1,7,3,7,5, , , , , ,1,2,1,2,2,2,2,2
4,2,55,13,2,6,8,4,1,2018,5, , , , ,2, , , , , , , ,2,2,2,2,2,2,2,1
1,2,56,8,2,6,6,1,2,2021,1, ,3000,1, ,5, , , , , , , ,1,1,2,2,2,1,2,1
2,1,50,8,2,6,3,3,1,2014,1, ,2000, , ,2,7, , , , , , ,2,1,1,1,1,2,2,1
98,1,35,8,2,2,5,5,1,2018,1, ,1500, , ,5,6,3,2,8, , , ,1,2,1,1,2,2,2,1
4,1,42,3,1,6,9,3,2,2014,3, ,2000,1,7,2,5,3, , , , , ,1,2,1,2,2,2,2,1
5,1,59,11,2,6,12,11,1,2024,1, ,2500,3,5,2,3,4,5, , , , ,1,1,1,1,2,1,2,1
4,1,58,15,2,6,4,4,1,2020,1, ,2000, , ,5,2,3, , , , , ,1,2,2,2,2,2,2,1
98,1,38,1,1,1,4,4,1,2023,5, , , , ,1,4,7, , , , , ,1,2,2,2,2,1,2,1
1,1,53,6,2,5,7,5,1,2024,1, ,2500,3, ,2,1,4, , , , , ,1,2,1,1,1,2,2,2
98,1,54,8,2,6,5,5,1,2023,1, ,1500,3, ,5,3, , , , , , ,1,1,1,1,1,1,2,1
4,1,54,8,1,1,2,2,2,2017,3, ,2000,2, ,5,3,2, , , , , ,1,2,1,2,2,1,1,2
2,1,49,8,2,5,7,7,1,2022,1, ,1600,1, ,3,4,7,5, , , , ,1,2,1,2,2,2,2,1
98,2,39,7,2,5,6,4,1,2021,1, ,2500,1,5,2,1,3, , , , , ,2,2,2,1,2,2,2,1
98,1,44,1,2,5,10,7,1,2016,1, ,3500,1, ,3, , , , , , , ,2,1,1,2,2,2,2,1
98,1,52,1,2,6,13,12,1,2021,5, , , , ,7,3,2,1,4,8,5, ,2,1,2,2,2,1,1,1
1,2,50,4,2,5,4,98, , , , , , , ,6,7,4, , , , , ,2,1,1,2,2,1,2,2
3,1,47,8,1,1,11,11,1,2014,3, ,2000,3, ,1,6,5,3,4,2,7, ,2,2,1,1,1,2,1,2
2,1,52,11,2,5,6,6,1,2022,4,1,1600,1, ,5,3, , , , , , ,1,2,2,2,2,2,2,1
5,2,31,8,2,2,7,3,1,2020,4,1,1600, , ,2,5,3, , , , , ,1,2,1,2,2,2,2,1
3,1,47,1,2,5,8,8,1,2021,5, , , , ,3,4,7, , , , , ,1,2,1,1,1,2,1,2
2,1,56,3,2,6,5,3,1,2013,1, ,2400,1, ,3,5,2, , , , , ,1,2,1,2,2,2,2,1
2,1,65,4,2,7,11,10,1,2018,1, ,2400,1, ,4,5, , , , , , ,1,2,1,1,2,1,2,1
1,1,59,16,2,6,3,3,2,2022,1, ,1000, ,5,2,3, , , , , , ,1,2,2,2,2,2,2,1
98,1,54,8,2,3,8,8,1,2017,1, ,1500, , ,2,5,3, , , , , ,1,2,2,2,2,2,2,1
2,1,41,2,2,5,11,8,1,2015,1, ,1600, , ,8,4, , , , , , ,1,1,1,2,2,1,2,2
4,1,50,8,2,5,3,2,2,2023,3, ,2200,1,7,5, , , , , , , ,1,2,1,2,2,2,2,1
2,1,40,8,2,4,11,9,1,2023,5, , , , ,5, , , , , , , ,2,2,1,1,2,1,1,2
98,2,52,6,2,6,11,3,1,2020,4,1,2000, , ,3,5,4,2, , , , ,1,2,2,1,2,1,2,2
1,1,69,13,2,6,6,4,1,2022,2, ,2000,1,5,3,5,7,2, , , , ,2,2,1,2,2,2,2,1
3,1,47,1,1,7,9,5,1,2013,1, ,1600, , ,3,5, , , , , , ,1,1,2,2,2,2,2,1
98,2,42,15,2,5,7,3,1,2023,5, , , , ,5,3, , , , , , ,1,1,2,2,2,2,2,1
2,1,48,3,2,5,5,5,1,2013,3, ,2000,1,7,5,4, , , , , , ,1,2,1,2,2,2,2,1
1,1,60,8,2,6,13,11,1,2018,3, ,2000,3, ,4,2,3,5,7, , , ,1,2,1,1,1,1,1,1
3,2,46,3,2,2,7,2,2,2019,3, ,2000,1, ,3,4, , , , , , ,1,2,1,2,2,2,2,1
98,1,44,2,2,4,7,4,1,2020,3, ,2200,2,7,5,2,3, , , , , ,1,1,1,2,2,2,2,1
1,1,51,1,2,5,7,6,1,2023,4,1,2000, , ,5,3,2, , , , , ,2,2,1,2,2,2,2,1
3,1,55,8,2,6,11,10,1,2022,3, ,2200,1,9,1,8,4,5,3, , , ,1,2,1,1,2,1,2,1
4,1,39,8,1,1,3,3,2,2019,1, ,1600, , ,3,5,7, , , , , ,1,2,1,2,2,1,2,1
98,1,68,8,2,7,10,4,1,2018,3, ,2200,2, ,2,5, , , , , , ,1,2,2,2,2,1,2,1
3,2,39,15,2,4,6,1,2,2019,1, ,1000, ,5,3,5, , , , , , ,1,2,1,2,2,2,2,1
1,1,59,1,2,6,6,3,1,2023,1, ,2000,1, ,7,2,4,5,6,1,3,8,1,2,1,1,1,1,1,1
1,1,62,8,2,7,6,6,2,2021,3, ,2000,2,5,2,5,3, , , , , ,1,2,2,2,2,1,2,1
4,1,58,8,2,7,5,4,1,2016,3, ,1500,1, ,3,5,2, , , , , ,1,2,2,2,2,1,2,2
98,1,44,1,1,1,7,7,1,2020,4,1,2400,1, ,3,4,5,7, , , , ,2,1,1,1,2,1,2,1
2,1,58,14,2,7,4,4,2,2018,3, ,2200,1,7,4, , , , , , , ,1,2,2,2,2,1,2,1
1,1,63,8,2,7,8,4,1,2015,1, ,1000, , ,2,3,5, , , , , ,1,2,2,2,2,2,2,1
5,1,49,6,2,3,4,4,2,2022,3, ,2200,1,9,8,2,3,4, , , , ,2,2,1,1,2,1,2,1
98,2,47,2,2,5,4,98,1,2023,1, ,1600,1, ,3, , , , , , , ,2,2,2,2,1,2,2,2
3,2,49,1,2,5,10,5,1,2015,1, ,2400,1, ,2, , , , , , , ,1,2,2,2,2,1,2,1
4,1,52,17,2,5,6,4,1,2016,1, ,3300,1, ,1, , , , , , , ,1,2,1,2,2,1,2,1
5,1,65,8,2,6,8,4,1,2014,2, ,3300,1, ,1,2,5, , , , , ,1,1,1,2,2,2,2,1
2,2,39,3,2,5,11,7,1,2023,5, , , , ,1,6,3, , , , , ,2,1,1,2,1,1,2,2
2,1,64,8,97,6,3,3,2,2020,3, ,2000,1, ,1,7,5,3,2, , , ,1,2,2,2,1,1,2,2
2,1,57,4,97,6,7,3,1,2022,1, ,2000,3, ,1,8,3, , , , , ,1,2,1,2,2,1,2,1
2,1,68,12,2,7,3,3,1,2013,4,1,2000, , ,3,5, , , , , , ,1,1,1,2,2,1,2,1
3,2,44,8,2,5,4,2,1,2018,3, ,2200,2, ,1,4,2,5, , , , ,1,2,2,2,2,1,2,2
3,1,56,12,2,6,7,5,2,2020,3, ,3000,1, ,5,3, , , , , , ,1,2,2,2,2,1,1,1
2,1,59,11,97,6,13,13,2,2020,3, ,1800,3, ,2,5, , , , , , ,1,1,2,2,2,2,2,1
98,1,41,4,2,4,6,6,1,2021,1, ,2500,1,5,5, , , , , , , ,1,2,1,2,2,2,2,1
2,1,55,8,1,1,3,3,2,2013,1, ,1600, , ,5,2,7, , , , , ,1,2,2,2,2,2,1,1
2,2,55,1,2,5,8,7,1,2017,2, ,3800,1, ,2,3, , , , , , ,1,1,1,2,2,1,2,1
2,1,46,4,2,5,4,4,1,2014,3, ,2200,1,11,2,5,6,3, , , , ,1,2,1,2,2,1,2,1
98,1,64,4,2,7,5,5,1,2013,3, ,2000,1, ,2, , , , , , , ,2,2,2,2,2,2,2,1
3,2,52,12,2,4,5,2,1,2023,1, ,1600,1, ,8, , , , , , , ,2,2,2,2,2,2,2,1
5,1,66,2,97,1,5,5,2,2021,3, ,2000,1,5,5,2,7, , , , , ,1,2,2,2,2,2,2,1
3,2,58,2,2,7,5,98,2,2023,1, ,2000, , ,5, , , , , , , ,1,1,2,2,2,2,2,1
1,1,47,6,2,4,8,4,1,2013,1, ,1000, ,5,3,2,5, , , , , ,1,2,1,2,1,2,2,2
4,2,52,8,2,6,10,4,1,2014,1, ,2400, , ,5,2, , , , , , ,2,2,2,1,2,2,1,2
98,1,60,13,97,1,7,7,2,2017,1, ,1000, ,5,4,5,2,3, , , , ,1,2,1,1,2,1,2,1
4,2,47,8,2,5,7,98,2,2020,3, ,3000,2,7,3,5, , , , , , ,2,1,1,2,2,2,2,1
2,1,55,1,2,6,11,7,1,2015,1, ,3300,3, ,5,3,8,7,1, , , ,1,2,1,1,1,1,1,1
98,1,53,1,2,6,3,3,1,2018,1, ,2000,1, ,7, , , , , , , ,2,2,1,2,2,1,1,2
5,1,44,9,2,5,5,5,1,2019,1, ,3300,1, ,3,5,7, , , , , ,1,2,1,2,1,1,2,1
2,1,24,15,1,1,13,13,2,2022,3, ,2000,3, ,3,4,2, , , , , ,1,2,2,1,2,2,1,1
3,2,60,16,97,6,3,3,2,2019,1, ,2000, , ,7,2,5,3, , , , ,1,2,1,1,2,1,2,1
2,1,49,1,2,5,11,7,1,2014,1, ,2000, , ,3,7,4,5, , , , ,1,2,1,2,1,1,2,1
4,1,48,1,2,5,11,4,1,2021,4,1,2400,1, ,5,3,2, , , , , ,2,2,1,2,2,2,2,1
98,1,54,14,2,5,4,4,1,2019,1, ,2000, , ,2, , , , , , , ,1,2,2,2,2,1,2,1
3,1,46,8,2,5,4,3,2,2023,1, ,1000, , ,4, , , , , , , ,1,2,2,2,2,2,1,2
1,2,57,5,2,7,13,5,1,2021,1, ,3500,1,7,4, , , , , , , ,1,2,1,2,2,1,2,1
98,1,58,11,2,7,3,2,2,2022,2, ,2000, , ,5,3,2, , , , , ,1,2,1,2,2,2,2,1
2,1,36,2,2,2,3,3,1,2013,3, ,2000, , ,3,5,2,7, , , , ,1,2,1,2,2,2,2,2
4,1,42,8,2,4,7,4,1,2020,4,1,2000, , ,7,4,3, , , , , ,1,2,1,2,1,1,2,1
3,2,46,1,2,5,8,3,1,2013,1, ,1000, ,5,8,7,5,4,1, , , ,1,2,1,2,2,1,2,1
1,2,53,1,2,6,5,5,1,2024,1, ,2000,1, ,2, , , , , , , ,2,2,1,2,2,1,2,1
4,2,33,15,1,1,5,5,2,2024,1, ,1000, ,5,5, , , , , , , ,1,2,2,2,1,2,2,1
4,2,65,1,97,6,4,2, , , , , , , ,3,5,2,6, , , , ,1,1,2,2,2,1,2,1
1,1,67,10,2,7,2,2,1,2013,3, ,2000,1, ,2, , , , , , , ,1,2,2,2,2,2,2,1
4,1,62,4,97,7,8,5,1,2017,4,1,1600,1, ,2,3, , , , , , ,1,2,2,2,2,2,2,1
3,1,56,3,97,1,5,5,2,2019,3, ,1600, , ,2,5, , , , , , ,1,2,1,2,2,2,2,1
4,1,41,1,2,4,7,3,1,2021,5, , , , ,2,6, , , , , , ,1,2,1,1,2,2,2,1
5,2,47,15,2,5,5,2,1,2020,3, ,2000,1, ,5,4,2, , , , , ,1,2,1,2,2,2,2,1
98,2,57,11,97,6,3,98,1,2022,1, ,1300,1, ,5,2,3,7, , , , ,1,2,1,2,2,1,2,1
98,1,53,2,2,3,6,6,1,2020,4,1,1600,1,5,2,8,5,3, , , , ,1,2,1,2,2,1,2,1
5,2,51,13,2,5,7,2,1,2020,3, ,2000,1,5,5,2,3, , , , , ,1,2,2,2,2,2,2,1
5,2,41,9,2,5,4,2,2,2024,3, ,2200,1,9,3, , , , , , , ,2,2,2,2,2,2,2,1
4,2,48,8,2,5,5,98,1,2013,1, ,2000, , ,3, , , , , , , ,2,2,1,2,2,1,2,1
98,1,42,8,2,4,6,6,1,2024,1, ,2500,1, ,2, , , , , , , ,1,2,1,2,1,1,2,1
3,1,35,1,1,1,4,4,2,2020,1, ,2400,1, ,4,2,3,5, , , , ,1,2,1,1,2,1,2,1
4,1,47,14,2,5,4,4,2,2014,1, ,3300,1, ,3,5,2, , , , , ,1,2,2,2,2,2,2,1
98,1,41,9,2,5,6,3,1,2018,3, ,1600,1, ,2,6,3,8,4,5,7, ,1,2,1,2,1,1,1,2
98,1,50,3,97,1,99,99,2,2023,3, ,2000,1,5,98, , , , , , , ,2,2,1,2,2,1,2,1
5,1,35,8,2,5,8,5,1,2020,4,1,2400,1, ,5,4,3, , , , , ,1,2,1,1,2,2,2,1
4,1,42,7,2,4,6,6,1,2024,5, , , ,5,6,4,1,5,3,2, , ,1,2,1,2,2,2,2,1
98,1,39,8,2,4,8,4,1,2021,1, ,2000,3, ,2, , , , , , , ,1,2,1,1,2,2,2,1
98,2,29,4,1,6,3,98,1,2023,4,1,1600, , ,6,2,7,5,3,4, , ,1,2,1,1,2,1,2,1
98,1,51,8,1,7,5,5,1,2024,4,1,1600,1, ,3,2,5, , , , , ,2,2,1,1,2,1,2,1
5,1,47,10,1,1,3,3,1,2022,1, ,1600,1, ,7,2,3,5,6, , , ,1,2,1,2,2,2,2,1
2,1,55,7,2,6,10,10,1,2019,3, ,2200,1,7,7,3,5,8, , , , ,2,2,1,1,2,2,2,1
2,2,59,8,2,6,9,4,1,2019,5, , , , ,3,5, , , , , , ,1,2,2,2,2,2,2,1
3,1,63,8,2,6,3,2,1,2023,1, ,2500,1, ,5,7,3, , , , , ,2,1,1,2,1,1,2,1
98,2,44,8,2,5,6,3,2,2022,3, ,2200,1,7,2,5,3, , , , , ,2,2,1,1,1,1,2,1
98,1,54,4,2,5,10,9,2,2023,4,2,2000,3, ,5,7,1,3, , , , ,2,2,1,2,2,1,1,1
3,1,50,16,2,6,3,3,2,2022,2, ,2000,1,7,5,2, , , , , , ,1,2,1,2,2,1,2,2
5,2,62,6,2,6,11,2,1,2023,4,1,1600,1, ,5,3,2,7, , , , ,2,2,1,1,2,2,1,2
4,2,61,1,2,6,5,2,1,2016,1, ,2500,1, ,5,3,2, , , , , ,1,1,2,2,2,1,2,1
98,1,41,8,1,1,2,2,2,2022,4,1,1600,1, ,5,3,2, , , , , ,1,2,1,2,2,2,2,1
4,1,51,8,2,5,5,4,1,2016,3, ,2200,1,11,6,8,3,4,5,2,7, ,1,2,1,1,2,1,2,1
4,1,65,2,2,6,9,6,1,2022,4,1,1600,1, ,3,5,4, , , , , ,1,2,1,2,2,2,2,1
2,1,50,9,1,1,3,3, , , , , , , ,4,5,2, , , , , ,1,2,2,1,2,2,2,1
98,1,44,3,97,1,4,4,2,2023,1, ,2000, , ,8, , , , , , , ,1,2,1,2,1,1,2,1
98,1,48,1,1,1,10,10,1,2021,3, ,2000,1, ,3,8,4, , , , , ,1,2,1,1,2,1,2,1
5,1,55,8,2,5,2,1,1,2013,3, ,2200,1,7,7, , , , , , , ,2,2,1,1,1,1,1,1
3,1,62,4,2,6,10,9,1,2021,3, ,2200,3, ,3, , , , , , , ,1,2,1,1,2,1,2,1
98,1,69,8,2,7,4,4,1,2013,1, ,3000,1, ,5,6,2, , , , , ,1,2,2,2,2,2,2,1
3,1,52,2,2,5,9,5,1,2020,1, ,2500,1, ,8,7,6,3,4,1,5, ,2,1,1,1,1,2,1,2
98,1,65,1,2,6,7,3,1,2016,1, ,1600, , ,2,5,3, , , , , ,1,2,2,2,2,2,2,1
3,1,65,1,2,6,10,4,1,2015,1, ,2500,1, ,5,3, , , , , , ,1,2,2,1,2,1,2,1
3,1,39,6,1,1,5,5,1,2015,3, ,1600,1, ,3,2,5, , , , , ,1,2,2,2,2,2,2,1
98,2,34,6,1,1,3,3,1,2023,4,1,1600,1, ,2,6,3,7,5, , , ,1,2,1,2,2,2,2,1
3,1,47,6,2,3,5,2,1,2021,5, , , , ,8,3,4, , , , , ,1,2,1,1,2,2,2,1
5,1,66,8,2,6,10,4,1,2023,4,1,1600,1, ,6,1,7,3,5, , , ,1,1,1,1,2,2,2,1
98,2,22,4,1,6,4,98,2,2018,3, ,2000,2,11,8, , , , , , , ,1,2,1,1,2,2,2,2
5,1,50,8,1,7,4,2,2,2023,1, ,2000, , ,3,2,5, , , , , ,1,2,2,2,2,2,2,1
98,1,37,8,2,5,4,4,1,2020,1, ,2000,1,5,2,3,8,7,4, , , ,2,2,1,1,2,1,2,1
5,1,66,6,2,6,11,4,1,2019,3, ,2000,1,5,5,2,3, , , , , ,1,2,1,2,2,2,2,1
98,1,42,8,2,3,5,5,1,2014,1, ,1800, , ,5,3,2,7, , , , ,1,2,1,1,2,2,2,1
3,1,39,2,2,5,11,11,1,2018,1, ,2000, , ,4,6,1,7,3, , , ,2,2,1,1,2,2,2,1
2,1,48,11,2,5,11,7,1,2016,1, ,3800,3, ,5, , , , , , , ,1,2,1,2,2,1,2,1
5,1,55,1,2,6,7,4,1,2017,3, ,1500,1, ,3,7, , , , , , ,1,2,1,2,2,1,2,1
3,2,63,8,2,5,6,1,1,2015,1, ,2200,2,5,2,7,3,5, , , , ,1,1,2,2,2,1,2,1
2,1,25,11,1,6,6,1,2,2013,2, ,2000, , ,3, , , , , , , ,2,2,2,2,2,2,2,2
2,2,50,15,2,7,10,4,1,2014,1, ,3000,1, ,2,5, , , , , , ,1,2,1,2,2,2,2,2
3,1,51,13,2,5,3,3, , , , , , , ,2, , , , , , , ,2,2,2,2,2,2,2,1
5,1,53,10,1,1,2,2,1,2020,1, ,1300,1, ,6,4,7, , , , , ,2,2,1,1,1,2,2,1
3,1,53,1,2,5,9,7,1,2018,5, , , , ,3,7, , , , , , ,2,2,1,1,1,2,2,1
5,1,47,4,2,5,7,5,1,2022,4,1,1600,1,6,2, , , , , , , ,1,2,2,2,2,2,2,1
3,2,36,8,2,5,3,98,1,2013,1, ,1600, , ,7, , , , , , , ,1,1,2,2,2,1,2,1
2,1,41,9,2,4,5,2,1,2016,3, ,2000,1,5,7,3,4,5, , , , ,2,2,1,1,2,2,2,1
98,1,48,8,2,5,2,2,1,2023,3, ,2000,1, ,5,6,3,2,7,4, , ,1,2,1,1,2,1,1,2
1,1,65,9,97,1,3,3,2,2013,1, ,3500,1, ,1,4,3,7,2, , , ,1,1,1,2,2,1,2,1
4,2,57,14,2,6,5,98,1,2019,1, ,3000,1, ,5,2,3, , , , , ,1,1,1,2,2,1,2,1
4,1,46,10,1,1,1,1,1,2015,2, ,2000, , ,8, , , , , , , ,2,2,2,1,1,2,2,1
4,1,45,12,1,7,2,98,1,2021,1, ,1600, , ,2,3, , , , , , ,1,2,1,2,2,2,2,2
4,2,47,8,1,1,2,2, , , , , , , ,5,2, , , , , , ,1,2,2,2,2,1,2,2
1,2,40,13,2,4,3,2,1,2015,3, ,2000,1,5,5,2, , , , , , ,2,2,1,2,2,2,2,1
2,1,53,8,2,5,10,10, , , , , , , ,3, , , , , , , ,1,1,1,2,1,1,2,1
1,1,42,1,2,4,7,7,1,2020,3, ,2000,1, ,3, , , , , , , ,2,2,1,2,2,2,1,1
1,1,42,3,2,4,6,6,1,2015,3, ,2000,1, ,2,3,5,7,6, , , ,2,1,1,2,2,2,2,1
5,1,66,8,2,6,11,8,1,2017,1, ,2400,1, ,3,5,7,2,4,6, , ,1,1,1,2,2,2,2,1
1,1,64,5,2,6,7,4, , , , , , , ,4, , , , , , , ,1,2,2,2,2,2,2,1
98,2,39,13,2,4,5,2,2,2020,1, ,1600,1, ,2,5, , , , , , ,1,2,2,2,2,2,2,2
