SQ03,SQ04,SQ0502,SQ06,DQ02,DQ04,DQ08,DQ0801,Q010101,Q01010201,Q0119,Q01190100,Q0117,Q0120,Q012001,Q1903,Q1907,Q190701,Q19070301,Q19070302,Q19070303
3,1,58,12,2,6,4,3,2,2022,2, ,2000, , , ,2, , , , 
2,1,71,8,2,7,3,2,1,2013,1, ,2000,1, , ,5, ,1,19,11
2,1,46,8,2,2,6,99,1,2016,1, ,2500,1, ,20,5, ,7,10,3
3,1,49,1,2,3,7,5,1,2013,1, ,1600, , ,30,4,2, , , 
2,1,43,9,1,1,1,1, , , , , , , , ,1, , , , 
3,1,60,10,2,6,8,4,1,2015,1, ,2000, , ,13,4,1, , , 
2,1,59,1,2,6,13,13,2,2021,2, ,3000,1, ,8,4,2, , , 
4,1,64,8,2,7,2,2,1,2020,4,1,2400,1, ,24,5, ,14,4,2
1,1,53,4,2,6,8,6,1,2015,3, ,2000,1,7, ,1, , , , 
4,1,57,1,97,1,2,2,2,2024,1, ,3500,1, ,29,4,2, , , 
4,2,65,1,2,6,5,2,1,2016,3, ,1600, , ,24,4,2, , , 
3,1,64,8,2,6,13,6,1,2020,3, ,2500,1,5,22,6, , , , 
1,1,63,4,2,7,7,7,1,2013,1, ,3000,1, ,7,4,2, , , 
3,1,55,1,2,6,6,5,2,2017,3, ,2400,1, ,13,3, , , , 
3,1,57,1,2,6,11,7,1,2018,4,1,2500,1, ,13,4,1, , , 
1,1,36,3,2,4,6,4,1,2020,1, ,2000, , ,19,1, , , , 
1,1,48,1,2,4,6,6,2,2023,1, ,2000,3, ,30,3, , , , 
1,1,63,17,2,6,12,6,1,2019,1, ,3000,1, ,30,4,1, , , 
2,2,42,3,2,5,4,1,1,2017,1, ,1000, ,5,30,1, , , , 
1,1,46,1,2,3,10,8,2,2024,1, ,2500,3, ,1,1, , , , 
1,1,50,8,2,3,7,7,2,2023,1, ,3800,3, ,10,1, , , , 
1,1,59,1,2,6,11,11,1,2019,1, ,1600,1, ,25,4,1, , , 
3,1,61,11,2,6,9,7,1,2014,2, ,2000, , ,17,6, , , , 
4,1,44,8,2,5,5,5,1,2021,1, ,2000,3, ,13,1, , , , 
1,1,47,8,2,5,9,3,1,2018,4,1,2400,1, , ,4,2, , , 
1,1,60,15,2,6,11,7,1,2013,1, ,2500,1, ,8,1, , , , 
3,2,53,12,97,1,5,5,2,2013,1, ,1200, , , ,4,2, , , 
4,2,47,5,2,5,8,1,2,2021,1, ,2400,1, , ,4,1, , , 
3,1,64,8,2,6,4,4,1,2015,1, ,2000, , ,20,1, , , , 
1,1,61,2,2,6,8,6,2,2020,4,1,1600,1, ,17,1, , , , 
2,2,54,8,2,6,9,2,1,2019,3, ,2200,1,7,22,3, , , , 
3,1,50,6,2,5,5,3,2,2024,1, ,2000, , ,26,4,2, , , 
3,1,39,1,2,5,10,6,1,2020,3, ,2500,3, ,30,1, , , , 
2,2,53,2,2,5,4,3,1,2022,3, ,2200,1,7,6,1, , , , 
2,1,43,15,2,5,4,4,1,2022,1, ,1300,1, ,5,1, , , , 
1,2,40,1,2,5,8,4,1,2019,1, ,2000,1, ,10,3, , , , 
3,1,54,8,2,6,7,7,1,2016,2, ,3000,1, , ,4,2, , , 
3,1,37,1,1,1,4,4,1,2022,1, ,2000, , ,23,4,2, , , 
4,1,53,3,2,3,7,2,1,2016,3, ,2200,1,7, ,4,1, , , 
3,1,36,8,2,3,9,5,1,2015,1, ,1600, , ,21,1, , , , 
4,1,50,2,2,5,9,6,2,2019,1, ,2700,1, ,10,4,1, , , 
3,1,51,8,2,5,8,8,1,2020,1, ,1600,1, ,24,1, , , , 
4,1,49,8,2,3,6,6,1,2013,3, ,3000,2,7, ,5, ,2,3,5
1,2,54,15,2,6,10,3,2,2015,1, ,1600, , ,25,1, , , , 
2,2,30,1,1,6,5,2,1,2018,1, ,1000, ,5,28,4,1, , , 
4,2,41,15,2,2,13,1,1,2018,1, ,2000, , ,20,4,2, , , 
1,1,47,1,97,1,3,3,1,2015,1, ,1600, , ,7,4,2, , , 
2,1,57,16,2,5,4,2,1,2013,3, ,2000,1,7, ,1, , , , 
4,2,50,2,2,6,7,98,1,2023,1, ,1600,2, , ,1, , , , 
3,1,45,1,2,4,11,11,1,2017,1, ,3800,3, , ,1, , , , 
3,1,54,8,2,6,4,3,1,2013,3, ,2200,1,7,9,4,1, , , 
1,1,50,12,97,1,8,8,2,2022,1, ,1600, , ,20,4,1, , , 
1,1,40,4,2,5,6,6,1,2019,1, ,3300,1,9,21,4,2, , , 
2,2,29,5,2,2,6,3,1,2020,1, ,2000, , , ,1, , , , 
1,1,55,10,2,6,8,5,1,2020,1, ,2400,1, ,7,5, ,4,3,7
1,1,38,2,2,4,3,3,1,2020,5, , , , ,25,5, ,17,11,5
1,1,55,8,2,6,11,11,1,2017,1, ,2200,1, ,13,4,1, , , 
4,1,51,8,1,1,7,7,2,2024,3, ,2000,1, ,16,3, , , , 
4,1,58,2,2,6,8,4,2,2020,3, ,2000,1, ,7,4,1, , , 
4,1,50,2,2,5,8,6,1,2013,3, ,2000,1, , ,4,2, , , 
1,1,56,2,2,6,13,3,2,2021,2, ,2000, , ,22,2, , , , 
3,1,32,1,1,1,2,2,1,2019,3, ,2700,3, , ,4,2, , , 
1,1,65,1,2,6,4,4,1,2013,1, ,1400,1, ,23,4,1, , , 
3,1,63,2,2,5,3,2,2,2017,3, ,2000,1, ,20,1, , , , 
3,1,46,8,2,5,4,3,1,2019,1, ,1000, ,5,26,1, , , , 
4,1,39,2,2,3,5,3,1,2017,1, ,1600, , ,25,1, , , , 
4,2,44,4,2,4,3,3,1,2021,4,1,1600,3,5, ,4,1, , , 
1,1,54,6,2,6,11,11,1,2019,3, ,3000,2,6,28,1, , , , 
3,1,64,8,2,6,13,12,1,2020,1, ,2500,3, ,2,3, , , , 
2,1,47,3,2,5,3,2,1,2022,1, ,3500,3, ,8,5, ,8,10,11
3,1,63,8,2,7,6,4,1,2013,3, ,2000,1,7,29,4,1, , , 
4,1,50,8,2,5,8,6,1,2019,1, ,2200,1, ,25,1, , , , 
2,1,40,3,2,5,6,6,1,2020,1, ,2000,3, ,17,1, , , , 
2,2,24,8,1,6,99,3,1,2021,4,1,2000, , , ,4,2, , , 
4,2,30,15,2,2,4,2,2,2021,1, ,1000, ,5,29,4,1, , , 
2,1,43,8,1,6,5,4,1,2018,3, ,1500,1, ,17,3, , , , 
2,1,62,8,2,6,7,7,1,2015,1, ,2000, , ,9,1, , , , 
1,1,48,15,2,5,4,4,1,2013,1, ,1600, , ,17,4,2, , , 
2,1,62,8,2,7,8,3,1,2019,1, ,3300,3, ,9,1, , , , 
1,1,63,8,2,7,6,5,1,2017,1, ,2500,1, ,1,1, , , , 
2,1,47,11,2,3,2,2,2,2020,1, ,1600, , ,97,3, , , , 
2,1,50,1,2,5,11,6,1,2015,4,1,2400,1, ,29,5, ,5,18,8
3,1,59,8,2,6,1,1,2,2019,1, ,2000, , ,19,1, , , , 
3,2,67,5,97,1,2,2,1,2013,1, ,1600, , ,25,1, , , , 
4,1,53,2,2,5,6,5,1,2013,3, ,2000,1, ,30,3, , , , 
3,1,63,6,2,6,6,3,2,2021,1, ,3800,1, ,26,1, , , , 
4,1,61,8,2,7,6,3,1,2015,1, ,3300,1, ,8,5, ,18,9,7
2,1,63,14,2,7,12,8,1,2013,1, ,3800,1, , ,5, ,10,1,2
4,1,56,2,97,1,5,5,1,2014,1, ,1600, , , ,4,1, , , 
1,2,44,1,2,5,5,1,2,2022,2, ,2000, , ,10,2, , , , 
3,2,48,8,2,5,7,4,1,2019,1, ,2000,1, , ,1, , , , 
3,1,63,14,2,7,5,5,1,2018,3, ,2200,2, ,30,4,2, , , 
3,1,47,14,2,5,5,5,1,2015,1, ,2500,1, ,17,1, , , , 
3,1,46,11,2,3,6,5,1,2018,1, ,1400, , ,13,1, , , , 
4,1,51,17,2,5,11,9,1,2018,3, ,2000,1,7,12,4,2, , , 
3,2,54,3,1,1,3,3, , , , , , , , ,6, , , , 
3,2,45,1,1,6,4,2, , , , , , , ,25,4,2, , , 
1,1,55,7,2,6,5,5,2,2013,2, ,2000, , ,25,4,1, , , 
4,1,43,3,2,4,6,6,1,2013,1, ,2000, , ,16,1, , , , 
1,1,69,8,2,7,5,5,2,2018,1, ,3300,3, ,7,1, , , , 
3,1,67,1,2,7,4,4,1,2016,3, ,1700,1, , ,4,2, , , 
1,1,65,13,2,5,4,4,1,2013,3, ,2900,2,7,20,4,2, , , 
1,1,46,1,2,5,10,10,1,2019,1, ,2000, , ,2,4,2, , , 
3,2,39,8,2,4,11,4,1,2019,1, ,2500,1, ,2,1, , , , 
1,1,50,4,97,1,7,7,1,2013,1, ,2000,1, ,21,4,1, , , 
3,1,42,8,2,5,10,5,1,2013,3, ,1500,1, ,13,1, , , , 
1,1,50,8,2,6,8,5,2,2013,1, ,3000,1, ,7,1, , , , 
2,1,53,1,2,6,6,5,1,2019,2, ,2000,1,5, ,4,1, , , 
3,1,54,2,2,6,6,5,1,2015,3, ,2200,2,9,20,4,1, , , 
2,2,37,8,2,4,9,3,1,2018,1, ,1500, , ,9,4,2, , , 
3,1,42,8,2,5,4,4,1,2022,1, ,2000, , ,13,1, , , , 
2,1,53,8,2,6,5,5,2,2013,2, ,2000,1,7,22,2, , , , 
4,2,49,4,2,6,7,3,1,2022,3, ,2500,1, ,22,3, , , , 
4,1,47,13,2,5,11,7,1,2016,3, ,2200,1,7, ,1, , , , 
3,1,67,1,2,7,12,7,1,2021,1, ,2000,3,5,2,1, , , , 
3,1,52,9,2,5,5,4,1,2019,1, ,2000, , ,22,4,1, , , 
4,1,44,8,2,5,8,8,1,2016,1, ,1000, , , ,5, ,4,19,5
4,1,56,8,2,7,6,4,1,2019,1, ,1500, , ,7,4,1, , , 
2,2,64,10,2,7,5,1,1,2017,1, ,2000, , ,20,1, , , , 
1,1,60,14,2,6,11,8,1,2013,1, ,3000,1, ,10,1, , , , 
4,1,45,15,2,5,10,6,1,2020,5, , , , ,7,1, , , , 
1,1,45,3,2,4,11,8,1,2017,1, ,3500,1, ,14,4,2, , , 
4,2,45,5,2,4,6,6,1,2016,3, ,2000,1,7,2,3, , , , 
1,1,67,5,2,7,8,5,1,2013,1, ,3000,1, ,1,1, , , , 
3,1,63,14,2,6,3,3,1,2013,1, ,1500, , ,21,4,1, , , 
3,1,50,11,2,6,8,8,1,2020,1, ,1000, , ,10,4,1, , , 
2,1,53,5,2,3,4,3,1,2021,2, ,2000, , ,7,1, , , , 
1,1,45,14,2,5,3,3,2,2023,3, ,2700,3,7,24,1, , , , 
3,1,44,8,2,3,6,3,1,2017,1, ,1600, , ,7,4,1, , , 
2,2,46,8,2,5,6,98,2,2013,1, ,1600, , ,11,3, , , , 
3,1,41,16,2,4,8,4,1,2013,3, ,2000,2, ,29,5, ,4,11,2
1,1,58,12,1,1,3,3,1,2013,1, ,1600, , ,17,1, , , , 
3,1,53,1,2,6,10,10,1,2013,1, ,3300,1, ,2,1, , , , 
1,2,48,1,2,5,6,3,1,2018,4,1,2400,1, ,16,4,2, , , 
4,1,41,10,2,4,3,3,1,2014,1, ,1600, , , ,4,2, , , 
3,1,52,8,2,3,10,8,1,2014,3, ,2000,3, ,24,4,2, , , 
4,1,62,1,2,6,8,5,1,2016,3, ,2000,1,5,26,4,1, , , 
3,1,44,8,1,1,3,3,1,2019,4,1,2000,1, ,22,4,2, , , 
3,2,50,12,2,6,9,4,1,2016,1, ,2000, , , ,4,2, , , 
3,1,50,1,2,5,8,5,1,2013,1, ,1600, , ,25,1, , , , 
4,1,63,11,97,1,3,3,1,2020,1, ,1500,1, ,24,1, , , , 
4,2,43,8,2,2,5,2,1,2013,1, ,1600, , ,25,4,1, , , 
4,1,63,1,2,7,4,4,1,2021,2, ,2000, , , ,2, , , , 
4,2,68,1,2,7,11,8,1,2020,1, ,2500,1, ,9,4,2, , , 
4,2,47,3,97,5,2,2, , , , , , , ,7,4,2, , , 
4,1,40,4,1,6,3,3,1,2023,1, ,3000,2,6, ,5, ,7,14,4
1,1,67,15,2,7,9,6,1,2013,1, ,1400, , ,1,1, , , , 
2,1,53,6,2,5,11,10,1,2017,3, ,2000,3, ,5,5, ,19,2,3
3,2,48,8,2,5,5,98,1,2014,1, ,2000, , ,17,1, , , , 
1,2,61,8,2,6,8,2,2,2013,1, ,2700,1, ,25,1, , , , 
4,1,55,1,2,5,6,5,2,2022,1, ,1400, , ,21,5, ,2,4,3
3,1,53,3,2,5,5,5,1,2021,6, , ,1, ,10,1, , , , 
3,1,52,15,97,1,99,99,1,2013,1, ,1600, , ,30,4,2, , , 
1,1,45,3,1,1,5,5,1,2021,2, ,2000,1,5,17,2, , , , 
3,1,57,11,2,6,9,4,1,2015,3, ,2000,1, ,22,1, , , , 
1,1,56,9,2,6,7,7,1,2017,3, ,2000,1,5,8,4,1, , , 
1,1,39,8,1,7,9,4,2,2013,1, ,3300,1, ,20,5, ,3,11,2
4,1,57,8,2,6,11,10,1,2019,4,1,2400,1, ,29,4,1, , , 
3,1,51,13,2,5,11,10,1,2020,1, ,3300,1, ,2,5, ,14,2,17
1,1,67,8,2,7,3,3,2,2018,1, ,2700,1, ,10,1, , , , 
1,1,47,8,2,5,9,6,1,2013,3, ,2700,2,7,25,1, , , , 
4,2,32,14,2,4,8,2,1,2021,1, ,3000,1, ,5,1, , , , 
2,1,61,8,2,6,7,2,1,2016,4,1,2400,1, ,23,4,1, , , 
3,2,42,15,1,6,8,4,1,2017,2, ,2000, , , ,4,2, , , 
4,1,41,11,1,6,3,2,2,2017,1, ,1400, , ,97,1, , , , 
3,1,47,1,1,1,5,5,1,2013,1, ,1000, ,5,11,1, , , , 
4,1,53,8,2,6,5,5,1,2017,1, ,3300,1, ,7,1, , , , 
3,1,60,8,2,6,6,3,1,2022,1, ,2000, , ,25,1, , , , 
2,2,46,15,2,5,10,2,1,2014,1, ,2400,1, ,9,4,1, , , 
4,2,51,2,2,5,11,2,1,2023,1, ,2000,1, ,4,5, ,3, , 
1,1,69,9,2,7,7,4,1,2016,3, ,2000,3, ,30,1, , , , 
4,2,38,8,1,6,5,1,1,2018,1, ,2000, , , ,1, , , , 
3,1,48,8,2,5,7,3,1,2013,1, ,2000, , ,21,4,1, , , 
4,1,45,8,2,5,8,5,1,2013,1, ,2400,1, ,7,4,1, , , 
2,1,40,16,2,4,8,4,2,2018,2, ,2000, , ,25,1, , , , 
3,1,41,8,2,5,11,6,1,2021,1, ,3000,2, ,29,4,2, , , 
4,1,58,10,2,6,10,5,1,2021,1, ,2500,1,5,30,1, , , , 
2,1,37,8,2,4,8,8,2,2023,1, ,1600, , , ,4,1, , , 
3,1,52,4,1,1,4,4,1,2020,1, ,2500,1, ,30,4,2, , , 
1,1,43,5,2,4,8,5,1,2017,1, ,2000,3, ,26,1, , , , 
4,1,60,12,2,6,3,2, , , , , , , ,20,1, , , , 
3,1,47,10,2,5,8,6,1,2022,1, ,3500,1,7,16,5, ,3,4,5
2,1,67,15,2,7,2,2,1,2013,1, ,2000, , ,8,1, , , , 
2,1,49,16,2,5,9,6,1,2018,1, ,2000, , ,25,4,2, , , 
2,1,50,2,1,1,2,2,2,2023,3, ,1500,1, ,20,3, , , , 
4,1,57,1,2,6,8,4,1,2013,2, ,2000,1,7,1,1, , , , 
3,1,68,5,2,6,6,5,2,2020,2, ,3000,1, ,23,4,1, , , 
1,1,38,6,1,1,4,4,2,2013,1, ,1600, , ,24,4,1, , , 
4,1,57,8,2,6,12,11,1,2015,3, ,2200,1, ,29,4,2, , , 
4,1,44,8,2,5,99,4,1,2018,3, ,2000,1,5,7,3, , , , 
2,1,51,8,2,5,11,6,1,2013,3, ,2000,1,7,30,4,1, , , 
4,1,53,8,2,3,6,4,1,2021,1, ,2400,3, ,23,1, , , , 
4,1,46,8,2,5,9,6,1,2019,4,1,2400,1, ,25,1, , , , 
4,1,49,14,2,5,10,7,2,2019,3, ,2200,2,7,24,4,1, , , 
3,2,44,8,2,2,6,2,2,2019,1, ,1000, ,5, ,1, , , , 
2,1,47,5,2,5,5,4,1,2020,3, ,2200,1,7,9,1, , , , 
2,1,64,17,2,7,3,2,1,2013,1, ,2400,1, ,26,6, , , , 
3,1,48,1,2,5,5,3,1,2013,1, ,1400, , ,20,4,1, , , 
3,2,44,1,2,5,6,6,1,2013,3, ,2000,1,7, ,4,2, , , 
2,1,68,11,2,7,2,2,1,2022,1, ,2000, , ,18,5, ,3,19,15
3,1,42,8,2,4,7,5,1,2016,3, ,2000,1, ,9,3, , , , 
3,1,44,1, , , , ,2,2016,1, ,4000,3, , ,1, , , , 
2,2,36,14,2,4,2,98,1,2019,3, ,2200,1,5,6,4,1, , , 
3,2,56,4,97,6,10,3,1,2019,1, ,1000, , ,17,1, , , , 
3,1,58,15,2,6,10,10,1,2017,4,1,2400,1, , ,4,2, , , 
2,1,56,2,2,5,5,5,1,2016,1, ,1000, ,5, ,4,1, , , 
3,2,65,1,97,6,5,5,1,2021,1, ,2000, , ,30,1, , , , 
4,1,64,1,2,6,5,3,1,2013,1, ,2700,1, , ,4,2, , , 
4,1,59,4,1,1,9,9,2,2019,1, ,2700,1, ,10,1, , , , 
3,2,68,4,2,6,2,2,1,2015,1, ,1600, , ,5,3, , , , 
3,1,48,11,2,5,10,6,1,2017,3, ,2200,1,9,24,5, ,1,2,19
3,1,53,1,2,5,10,10,1,2022,3, ,2200,1,7,21,4,2, , , 
3,1,45,1,2,5,5,5,1,2019,1, ,2200,1, ,5,1, , , , 
1,1,63,3,2,6,5,4,1,2013,1, ,1600, , ,97,1, , , , 
1,1,45,4,2,3,10,10,2,2017,1, ,3500,3, ,19,1, , , , 
4,2,46,1,1,1,99,99, , , , , , , ,22,1, , , , 
3,1,53,15,2,5,6,5, , , , , , , , ,3, , , , 
2,1,42,3,2,4,4,3,2,2015,1, ,2000, , ,20,4,1, , , 
4,1,65,3,2,7,10,6,1,2019,3, ,2200,1,5,22,4,1, , , 
4,2,45,4,2,5,8,2,2,2024,1, ,1800,1, , ,4,1, , , 
4,2,33,8,2,2,4,3,2,2013,1, ,2000,1, ,25,4,1, , , 
3,1,45,4,1,7,6,5,1,2014,3, ,2000,1, ,1,5, ,7,3,17
2,1,65,1,2,6,7,5,1,2021,1, ,3500,3, , ,4,2, , , 
3,1,60,1,2,6,5,3,1,2018,4,1,3500,3, ,30,4,1, , , 
4,1,54,8,2,6,9,6,1,2022,4,1,2400,1, ,24,4,1, , , 
2,1,49,15,2,2,99,99,2,2013,1, ,2000, , ,9,1, , , , 
3,2,41,7,2,4,3,1,1,2021,3, ,2000,1,6,7,4,2, , , 
1,1,42,15,2,4,7,7,2,2019,3, ,2200,1,9,8,3, , , , 
2,1,57,3,2,7,6,4, , , , , , , ,9,4,1, , , 
2,1,49,14,2,5,5,5,1,2018,1, ,2000, , ,24,4,1, , , 
1,1,47,1,2,4,10,7,1,2022,5, , , , ,26,5, ,10,5,8
4,1,50,6,2,6,11,5,1,2022,5, , , , ,22,4,1, , , 
2,1,61,11,2,7,9,4,2,2017,2, ,2000, , ,20,1, , , , 
4,1,44,11,2,5,6,4,1,2022,2, ,1700,1,5,25,4,1, , , 
2,1,48,1,2,5,8,7,1,2016,4,1,2500,1, ,23,1, , , , 
2,1,53,6,2,5,7,6,1,2013,1, ,2000, , ,26,1, , , , 
4,1,67,1,2,7,3,3, , , , , , , ,20,3, , , , 
3,2,46,14,97,5,4,3,2,2013,2, ,2000,1,7,21,2, , , , 
1,1,40,8,1,1,6,6,1,2013,1, ,2700,1, ,7,1, , , , 
4,1,55,8,97,6,5,5,2,2022,1, ,2700,1, ,21,4,1, , , 
2,1,44,10,1,1,4,4,1,2013,1, ,1800, , ,22,4,1, , , 
2,1,55,10,2,3,6,3,2,2022,3, ,2200,1,7,22,3, , , , 
1,1,52,11,2,6,8,3,2,2022,2, ,2000, , ,5,1, , , , 
3,1,28,9,97,1,99,99,1,2022,1, ,1300,1, , ,4,2, , , 
4,1,40,8,1,1,5,5,1,2020,3, ,2000,1,5,97,5, ,11,1,8
2,2,42,8,1,1,5,5,1,2016,1, ,1000, ,5,30,1, , , , 
4,1,61,8,2,7,9,6,1,2016,1, ,3000,1, ,7,4,1, , , 
2,2,31,1,1,1,4,4,1,2022,1, ,3500,1,9,8,5, ,2,14,3
3,1,31,11,2,4,7,5,2,2016,1, ,2000, , ,30,1, , , , 
2,1,50,8,1,1,2,2,2,2019,1, ,1000, ,5,2,1, , , , 
2,2,65,6,2,7,6,4,1,2022,4,1,1600,1, ,2,4,1, , , 
1,1,37,8,1,1,2,2,2,2018,1, ,1400, , ,1,3, , , , 
1,1,46,1,97,1,4,4,2,2019,1, ,3000,1, ,10,1, , , , 
4,2,23,1,1,6,5,1,1,2017,3, ,2000,1, , ,1, , , , 
3,2,45,2,1,6,5,3,1,2015,1, ,1000, ,5,26,1, , , , 
3,1,22,8,1,6,11,4,2,2020,3, ,2200,1, ,22,1, , , , 
2,1,31,6,1,1,2,2,2,2020,1, ,1700, , ,5,1, , , , 
4,1,45,8,1,1,6,6, , , , , , , ,21,5, ,1,3,5
2,2,51,8,2,5,6,98, , , , , , , ,7,1, , , , 
2,1,37,8,2,4,6,6,2,2022,3, ,3000,2,6,12,3, , , , 
3,2,52,8, , , , ,1,2016,1, ,1600, , ,22,1, , , , 
2,1,50,1,1,1,12,12,1,2023,3, ,2200,1,5, ,1, , , , 
3,2,37,8,1,1,5,5,1,2022,4,1,1600,1,5, ,1, , , , 
3,1,48,12,2,4,5,5,1,2022,4,1,1600,3,7, ,4,1, , , 
1,1,55,6,2,6,10,8,1,2013,4,1,1600, , ,29,5, ,10, , 
3,2,55,1,1,1,13,13,1,2022,1, ,2500,1, ,30,1, , , , 
1,1,69,1,2,7,4,2,1,2014,3, ,2000,1,7,29,5, ,11,4,3
3,1,67,2,2,6,9,3,1,2022,1, ,2000,1, , ,5, ,2, , 
2,1,65,13,2,6,2,2,2,2019,1, ,1000, ,5, ,4,2, , , 
2,1,59,8,2,6,12,9,2,2018,3, ,2200,1,5,13,5, ,19, , 
2,1,74,3,97,1,3,3,1,2021,1, ,2400,1, ,22,5, ,3,5,1
3,1,69,11,2,7,5,4,1,2020,1, ,2000,1,5, ,1, , , , 
1,1,47,2,2,5,4,4,1,2020,3, ,2200,3,7,18,1, , , , 
3,1,66,13,2,7,9,9,1,2017,3, ,2000,2, ,26,4,2, , , 
4,2,49,3,2,5,7,4,1,2013,3, ,2200,1,7,7,1, , , , 
4,1,50,8,2,6,7,7,1,2019,2, ,2000,1,5,19,4,1, , , 
2,1,59,15,2,6,4,3,1,2013,2, ,2000,1,7, ,1, , , , 
3,1,48,4,2,5,7,4,2,2014,3, ,2200,1,9,30,3, , , , 
4,2,64,8,97,1,4,4,2,2013,1, ,2000, , ,17,2, , , , 
1,2,59,8, , , , ,2,2019,2, ,1000, ,5,8,2, , , , 
3,1,51,13,2,5,5,5,1,2013,1, ,1600, , , ,1, , , , 
4,1,56,6,2,6,11,9,1,2022,4,1,2400,1, ,20,5, ,1,2,10
2,1,67,1,97,1,5,5, , , , , , , , ,6, , , , 
1,1,72,1,2,7,5,4,1,2016,2, ,3000,1, ,3,2, , , , 
3,2,41,3,2,2,10,6,2,2023,4,2,2000,3, , ,4,2, , , 
4,2,47,8,2,5,5,2,1,2013,1, ,1600, , ,10,1, , , , 
4,1,54,1,2,5,99,99,1,2013,3, ,2200,1,11,2,4,1, , , 
4,1,32,8,1,6,3,2, , , , , , , , ,5, ,2,4,5
4,1,65,10,2,6,10,6,1,2017,1, ,2400,1, ,7,1, , , , 
1,1,58,1,2,6,12,5,1,2013,1, ,2000, , ,7,4,2, , , 
3,1,59,8,2,7,11,10,1,2021,4,1,1600,1,6,21,5, ,2,1,7
3,1,65,8,2,6,5,2,1,2015,2, ,2000, , ,21,2, , , , 
3,1,40,1,2,3,10,8,1,2019,1, ,3000,1, ,25,1, , , , 
3,2,33,15,2,4,5,2,1,2019,1, ,2200,1,5,13,1, , , , 
1,1,41,9,2,5,4,4,2,2023,6, , ,1, ,29,5, ,19,4,17
4,1,45,15,2,4,6,4,1,2018,3, ,2000,3, ,8,1, , , , 
1,1,37,8,2,4,10,7,1,2021,5, , , , ,9,4,2, , , 
2,2,50,4,2,6,9,2,1,2014,1, ,2000, , , ,4,2, , , 
4,1,43,8,2,4,5,4,1,2022,2, ,2000,1,5,20,4,1, , , 
4,1,54,1,2,6,5,4,1,2023,1, ,2000,1,5, ,4,1, , , 
2,1,40,8,2,4,7,7,1,2022,1, ,1600,1, , ,4,1, , , 
4,1,45,2,2,5,7,3,1,2021,1, ,3600,3, ,1,1, , , , 
3,1,53,8,2,6,12,11,1,2018,3, ,2000,3, ,16,3, , , , 
4,1,41,15,2,5,3,3,1,2019,4,2,1600,1, ,9,5, ,1,3,5
2,1,47,6,2,5,8,5,1,2016,3, ,2200,1,7,29,5, ,2,7,3
3,1,64,8,2,7,5,5,1,2021,1, ,3000,3, ,13,1, , , , 
4,1,56,2,2,5,10,99,1,2017,1, ,1500,1, ,13,4,1, , , 
4,2,44,9,2,6,2,2,2,2013,1, ,1000, ,5,9,1, , , , 
4,2,30,4,1,6,4,2,1,2021,1, ,2500,3, , ,1, , , , 
4,1,53,14,2,5,6,5,1,2013,3, ,2000,1,7,26,4,1, , , 
4,1,47,1,2,5,11,5,1,2019,1, ,2400,1, ,7,1, , , , 
2,1,64,14,2,6,11,6,1,2013,1, ,3300,1, ,7,1, , , , 
3,2,46,8,2,5,10,5,1,2022,4,2,2300,1, ,1,4,2, , , 
2,1,41,8,2,2,5,5,2,2013,1, ,2400,1, ,7,4,2, , , 
4,1,72,8,97,7,1,1,2,2013,1, ,2000, , ,20,6, , , , 
3,1,59,8,2,6,11,8,1,2019,1, ,2400,1, ,22,4,1, , , 
2,1,65,5,2,6,10,5,2,2022,1, ,1600, , , ,4,2, , , 
1,1,37,2,2,4,4,4,1,2013,1, ,1600, , ,9,4,1, , , 
3,1,44,1,2,4,8,8,1,2022,5, , , , ,29,5, ,1,3,4
1,1,46,3,2,5,7,5,1,2018,1, ,3000,1, ,24,1, , , , 
1,1,53,8,2,6,7,7,1,2022,4,1,1600,1, ,20,4,2, , , 
1,1,65,14,2,7,11,5,1,2021,1, ,2800,2, ,1,1, , , , 
2,2,62,14,2,6,10,6,1,2023,1, ,2500,1, ,7,1, , , , 
1,1,49,12,2,5,8,5,2,2021,3, ,2000,3, ,9,4,1, , , 
3,1,55,1,97,7,8,6,1,2016,1, ,2000, , , ,6, , , , 
2,2,31,1,2,4,7,3,1,2022,4,1,1600,1,5,11,4,2, , , 
1,1,48,1,2,5,6,6,2,2015,1, ,2700,1, ,9,4,2, , , 
4,1,45,2,2,5,11,7,1,2021,3, ,2200,1,9,9,1, , , , 
1,2,44,15,2,5,7,3,1,2019,4,1,1600,1, ,29,1, , , , 
4,2,45,10,2,2,6,3,1,2021,4,1,1600,1,7,9,5, ,3,14,2
2,2,46,8,2,5,6,1,1,2017,3, ,2000,1, ,9,4,1, , , 
2,2,62,4,97,6,10,3,1,2020,3, ,2000, , ,13,4,1, , , 
3,1,50,11,2,5,5,5,1,2013,1, ,1600, , ,2,1, , , , 
3,1,21,2,1,5,6,1,2,2023,3, ,2000,2,7,13,1, , , , 
2,1,47,1,2,5,10,5,1,2016,3, ,1600, , ,9,4,2, , , 
2,2,38,6,1,6,5,3,1,2015,2, ,2000,1,7,13,1, , , , 
3,1,52,1,2,5,13,12,1,2021,1, ,3000,1, ,6,1, , , , 
4,1,63,4,1,7,7,3,1,2020,1, ,1600, , ,2,1, , , , 
3,1,48,14,1,1,2,2, , , , , , , , ,6, , , , 
